,udi,product_id,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,min_processo,type_H,type_L,type_M
0,446,L47625,297.5,308.6,1793,26.7,70,0.0,0,1,0
1,7076,L54255,300.7,310.5,1536,47.4,192,1.5,0,1,0
2,1191,L48370,297.2,308.4,1460,42.1,41,4.5,0,1,0
3,2618,L49797,299.4,309.1,1670,35.9,68,3.6666666666666665,0,1,0
4,5067,L52246,304.1,313.1,1550,30.9,9,7.0,0,1,0
5,191,L47370,298.2,308.4,1477,49.9,72,8.0,0,1,0
6,2601,L49780,299.3,309.0,1422,47.3,25,6.0,0,1,0
7,3300,L50479,301.3,310.5,1390,45.8,63,4.8,0,1,0
8,6729,L53908,301.5,310.9,1891,23.2,122,5.8,0,1,0
9,4824,L52003,303.5,311.9,1493,38.7,14,21.0,0,1,0
10,6848,L54027,301.2,311.4,1757,28.0,6,14.666666666666666,0,1,0
11,1238,M16097,297.1,308.4,1502,37.3,181,15.666666666666666,0,0,1
12,199,L47378,298.4,308.7,1588,35.0,99,10.0,0,1,0
13,3703,L50882,302.0,311.2,1434,44.9,15,31.5,0,1,0
14,6984,M21843,300.7,311.0,1334,53.9,150,23.333333333333332,0,0,1
15,3601,L50780,301.7,310.5,1523,34.7,181,36.5,0,1,0
16,1737,L48916,298.4,307.9,1544,35.9,132,37.5,0,1,0
17,6992,L54171,300.8,311.1,1509,33.4,172,15.4,0,1,0
18,9921,H39334,298.5,308.7,1450,43.9,28,41.0,1,0,0
19,5593,L52772,302.5,311.9,1437,46.7,65,42.0,0,1,0
20,2910,L50089,300.7,309.6,1500,44.1,122,28.666666666666668,0,1,0
21,8041,L55220,300.8,311.9,1498,39.3,23,44.5,0,1,0
22,8525,L55704,298.3,309.4,1468,46.2,10,45.5,0,1,0
23,4475,L51654,302.7,310.5,1563,35.0,8,46.5,0,1,0
24,7611,M22470,300.5,311.3,1507,43.4,41,32.666666666666664,0,0,1
25,2405,M17264,299.1,308.7,2008,20.3,178,33.666666666666664,0,0,1
26,9048,L56227,297.3,308.4,1488,37.4,69,52.0,0,1,0
27,146,L47325,298.5,308.4,1513,33.6,172,21.2,0,1,0
28,2049,L49228,299.3,309.2,1465,41.5,127,55.5,0,1,0
29,2964,M17823,300.7,309.6,1439,43.0,61,56.5,0,0,1
30,8868,L56047,297.9,308.9,1566,41.9,50,57.5,0,1,0
31,9211,M24070,297.9,309.0,2456,13.9,82,39.0,0,0,1
32,8598,L55777,297.6,308.3,1410,47.0,191,24.0,0,1,0
33,1123,L48302,296.5,307.6,1541,38.5,98,41.666666666666664,0,1,0
34,3894,L51073,302.3,311.2,1549,40.6,66,64.0,0,1,0
35,5175,M20034,304.2,313.5,1390,47.8,83,43.333333333333336,0,0,1
36,2477,H31890,298.9,308.4,1449,42.4,149,66.5,1,0,0
37,5531,M20390,302.3,311.8,1355,50.1,104,27.0,0,0,1
38,7916,H37329,300.8,312.1,1527,35.1,164,72.5,1,0,0
39,5441,H34854,303.0,312.5,1698,30.0,89,29.4,1,0,0
40,5764,H35177,301.8,311.2,1451,39.4,70,76.0,1,0,0
41,3779,M18638,302.4,311.1,1366,54.4,0,79.0,0,0,1
42,8844,H38257,297.3,308.8,1564,38.0,191,80.0,1,0,0
43,4227,L51406,302.1,310.8,1596,37.1,43,54.0,0,1,0
44,7525,L54704,300.2,311.5,1639,31.1,31,82.5,0,1,0
45,3002,L50181,300.5,309.8,1445,43.9,164,83.5,0,1,0
46,6076,L53255,301.0,310.9,1813,28.5,197,86.0,0,1,0
47,7154,L54333,300.2,310.0,1493,47.3,172,88.5,0,1,0
48,1108,M15967,296.7,307.5,1515,42.1,55,89.5,0,0,1
49,5754,L52933,302.2,311.6,1416,54.1,48,60.333333333333336,0,1,0
50,7020,L54199,300.8,310.8,1741,27.1,39,36.8,0,1,0
51,4094,M18953,302.0,310.5,1573,32.1,143,94.5,0,0,1
52,1552,L48731,298.4,308.8,1458,40.1,111,95.5,0,1,0
53,8607,M23466,297.5,308.4,1505,37.2,215,98.0,0,0,1
54,3913,L51092,302.4,311.4,1475,40.4,126,99.0,0,1,0
55,5295,L52474,303.9,313.4,1442,48.5,174,100.0,0,1,0
56,931,M15790,295.5,305.9,1453,47.3,9,104.0,0,0,1
57,130,L47309,298.9,308.5,1559,34.3,126,0.0,0,1,0
58,9041,L56220,297.3,308.3,1550,37.0,54,1.0,0,1,0
59,3420,L50599,301.5,310.5,1611,33.8,144,0.8,0,1,0
60,4347,L51526,301.8,309.7,1598,30.4,124,4.5,0,1,0
61,8329,L55508,298.6,309.5,1325,52.2,127,5.5,0,1,0
62,1288,L48467,298.5,309.6,1419,41.5,105,6.5,0,1,0
63,9931,L57110,298.3,308.3,1452,45.5,63,4.0,0,1,0
64,6441,L53620,300.6,310.2,1648,31.7,46,12.5,0,1,0
65,5052,L52231,303.9,313.0,1480,39.9,176,10.0,0,1,0
66,7960,L55139,301.0,312.1,1585,32.3,50,17.5,0,1,0
67,5127,L52306,304.3,313.5,1802,25.4,170,12.333333333333334,0,1,0
68,4137,L51316,301.7,310.1,1487,48.0,36,21.0,0,1,0
69,3481,L50660,301.9,310.8,1400,58.2,79,14.666666666666666,0,1,0
70,9585,L56764,299.3,310.5,1529,41.3,17,15.666666666666666,0,1,0
71,9976,M24835,298.6,308.3,1589,34.1,174,26.5,0,0,1
72,2828,L50007,300.4,309.4,1412,51.6,153,27.5,0,1,0
73,6088,M20947,300.9,310.8,1599,33.0,7,29.5,0,0,1
74,7696,L54875,300.6,311.7,1488,47.7,22,21.0,0,1,0
75,1580,L48759,298.3,308.3,1444,43.8,176,33.0,0,1,0
76,1571,L48750,298.2,308.4,1452,43.5,158,35.0,0,1,0
77,7750,L54929,300.4,311.6,1674,33.0,172,24.0,0,1,0
78,4831,L52010,303.5,312.0,1756,29.7,28,15.0,0,1,0
79,6951,H36364,300.7,311.3,1374,53.1,66,40.0,1,0,0
80,8367,M23226,298.9,309.8,1836,22.8,18,16.8,0,0,1
81,1799,M16658,298.0,307.5,1431,52.9,92,29.666666666666668,0,0,1
82,4199,M19058,302.4,311.1,1432,44.5,195,47.5,0,0,1
83,8046,M22905,300.7,311.9,1366,55.1,36,49.5,0,0,1
84,9150,M24009,297.5,308.6,1429,50.5,129,50.5,0,0,1
85,4538,L51717,302.3,310.2,1548,35.3,170,34.333333333333336,0,1,0
86,8352,M23211,298.7,309.6,1686,26.2,189,53.0,0,0,1
87,589,L47768,297.6,309.4,1628,33.4,229,55.0,0,1,0
88,3132,L50311,300.1,309.5,1660,32.7,57,58.0,0,1,0
89,2208,L49387,299.8,309.2,1591,37.5,109,60.0,0,1,0
90,2383,L49562,299.1,308.3,1601,31.4,121,61.0,0,1,0
91,6131,L53310,301.0,310.9,1473,44.2,116,62.0,0,1,0
92,4467,L51646,302.8,310.6,1470,41.1,205,64.0,0,1,0
93,5117,L52296,304.2,313.8,1401,53.9,142,65.0,0,1,0
94,6584,M21443,301.5,310.5,1503,38.2,200,44.0,0,0,1
95,1713,L48892,298.3,307.9,1551,33.8,72,69.0,0,1,0
96,2863,L50042,300.6,309.5,1867,23.0,242,46.666666666666664,0,1,0
97,5059,L52238,303.9,312.9,1526,42.5,194,28.6,0,1,0
98,5864,M20723,301.4,311.1,1758,25.4,88,77.5,0,0,1
