,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_type,min_processo
0,M,298.1,308.6,1551,42.8,0,No Failure,0.0
1,L,298.2,308.7,1408,46.3,3,No Failure,1.5
2,L,298.2,308.7,1408,40.0,9,No Failure,4.5
3,M,298.1,308.6,1425,41.9,11,No Failure,3.6666666666666665
4,L,298.1,308.6,1558,42.4,14,No Failure,7.0
5,L,298.1,308.6,1527,40.2,16,No Failure,8.0
6,M,298.3,308.7,1667,28.6,18,No Failure,6.0
7,H,298.4,308.9,1782,23.9,24,No Failure,4.8
8,H,298.6,309.1,1423,44.3,29,No Failure,5.8
9,L,298.6,309.2,1542,48.4,42,No Failure,21.0
10,M,298.6,309.2,1311,46.6,44,No Failure,14.666666666666666
11,M,298.7,309.2,1410,45.6,47,No Failure,15.666666666666666
12,H,298.8,309.2,1306,54.5,50,No Failure,10.0
13,L,298.8,309.3,1450,44.8,63,No Failure,31.5
14,M,299.0,309.4,1561,37.3,70,No Failure,23.333333333333332
15,L,299.0,309.5,1861,23.3,73,No Failure,36.5
16,L,299.1,309.5,1512,39.0,75,No Failure,37.5
17,H,299.1,309.4,1811,24.6,77,No Failure,15.4
18,L,299.1,309.4,1439,44.2,82,No Failure,41.0
19,L,299.0,309.4,1693,30.1,84,No Failure,42.0
20,M,299.1,309.5,1339,48.2,86,No Failure,28.666666666666668
21,L,299.0,309.4,1798,25.5,89,No Failure,44.5
22,L,299.0,309.4,1419,48.3,91,No Failure,45.5
23,L,298.9,309.3,1665,32.5,93,No Failure,46.5
24,M,298.8,309.2,1452,48.6,98,No Failure,32.666666666666664
25,M,298.9,309.2,1581,36.7,101,No Failure,33.666666666666664
26,L,298.8,309.1,1439,39.2,104,No Failure,52.0
27,H,298.9,309.2,1379,50.7,106,No Failure,21.2
28,L,298.8,309.1,1350,52.5,111,No Failure,55.5
29,L,298.8,309.1,1362,45.4,113,No Failure,56.5
30,L,298.8,309.1,1368,50.8,115,No Failure,57.5
31,M,298.8,309.1,1368,49.1,117,No Failure,39.0
32,H,298.8,309.2,1372,48.5,120,No Failure,24.0
33,M,298.8,309.1,1472,47.5,125,No Failure,41.666666666666664
34,L,298.8,309.1,1489,49.1,128,No Failure,64.0
35,M,298.7,309.0,1843,25.8,130,No Failure,43.333333333333336
36,L,298.8,309.1,1418,46.3,133,No Failure,66.5
37,H,298.8,309.2,1425,53.9,135,No Failure,27.0
38,L,298.9,309.1,1383,54.9,145,No Failure,72.5
39,H,298.8,309.0,1497,43.8,147,No Failure,29.4
40,L,298.7,309.0,1565,35.1,152,No Failure,76.0
41,L,298.8,309.1,1477,42.4,158,No Failure,79.0
42,L,298.8,309.1,1513,40.3,160,No Failure,80.0
43,M,298.8,309.0,1661,29.5,162,No Failure,54.0
44,L,298.8,309.1,1378,54.4,165,No Failure,82.5
45,L,298.8,309.1,1393,52.6,167,No Failure,83.5
46,L,298.8,309.0,1829,22.9,172,No Failure,86.0
47,L,299.0,309.1,1523,38.6,177,No Failure,88.5
48,L,299.0,309.1,1394,45.1,179,No Failure,89.5
49,M,298.9,308.9,1679,28.7,181,No Failure,60.333333333333336
50,H,298.8,308.9,1466,44.1,184,No Failure,36.8
51,L,298.8,308.9,1527,32.4,189,No Failure,94.5
52,L,298.9,309.0,1410,65.7,191,Power Failure,95.5
53,L,298.9,309.1,1452,45.5,196,No Failure,98.0
54,L,298.9,309.1,1369,44.4,198,No Failure,99.0
55,L,299.0,309.1,1592,35.0,200,No Failure,100.0
56,L,298.8,308.9,1455,41.3,208,Tool Wear Failure,104.0
57,L,298.8,308.9,1398,51.5,0,No Failure,0.0
58,L,298.8,308.9,1402,37.9,2,No Failure,1.0
59,H,298.8,308.8,1445,49.9,4,No Failure,0.8
60,L,298.9,308.9,1450,47.5,9,No Failure,4.5
61,L,298.9,308.9,1453,40.8,11,No Failure,5.5
62,L,299.0,309.0,1469,40.1,13,No Failure,6.5
63,H,299.0,309.0,1436,43.9,20,No Failure,4.0
64,L,299.0,309.0,1544,31.8,25,No Failure,12.5
65,M,298.9,308.9,1487,39.5,30,No Failure,10.0
66,L,298.9,308.9,1830,24.9,35,No Failure,17.5
67,M,298.9,308.9,1727,27.1,37,No Failure,12.333333333333334
68,L,299.0,308.9,1622,31.9,42,No Failure,21.0
69,M,299.0,309.0,1351,52.2,44,No Failure,14.666666666666666
70,M,299.0,309.0,1575,35.3,47,No Failure,15.666666666666666
71,L,298.9,308.8,1529,32.7,53,No Failure,26.5
72,L,298.8,308.8,1523,44.4,55,No Failure,27.5
73,L,298.8,308.8,1991,20.7,59,No Failure,29.5
74,M,298.8,308.8,1441,40.5,63,No Failure,21.0
75,L,298.8,308.7,1450,43.4,66,No Failure,33.0
76,L,298.8,308.7,1445,48.5,70,No Failure,35.0
77,M,298.8,308.8,1497,46.8,72,No Failure,24.0
78,H,298.9,308.8,1621,32.7,75,No Failure,15.0
79,L,298.9,308.7,1572,34.1,80,No Failure,40.0
80,H,298.7,308.6,1499,43.5,84,No Failure,16.8
81,M,298.8,308.7,1498,39.5,89,No Failure,29.666666666666668
82,L,298.8,308.6,1680,29.4,95,No Failure,47.5
83,L,298.9,308.7,1564,34.1,99,No Failure,49.5
84,L,298.8,308.6,1599,33.0,101,No Failure,50.5
85,M,298.8,308.6,1707,28.1,103,No Failure,34.333333333333336
86,L,298.7,308.5,1467,40.7,106,No Failure,53.0
87,L,298.9,308.7,1558,41.2,110,No Failure,55.0
88,L,298.9,308.7,1727,29.4,116,No Failure,58.0
89,L,299.0,308.6,1329,60.5,120,No Failure,60.0
90,L,298.9,308.6,1413,46.5,122,No Failure,61.0
91,L,299.0,308.6,1587,38.6,124,No Failure,62.0
92,L,298.8,308.4,1473,41.1,128,No Failure,64.0
93,L,298.8,308.4,1737,27.7,130,No Failure,65.0
94,M,298.7,308.4,1441,43.2,132,No Failure,44.0
95,L,298.8,308.4,1369,53.0,138,No Failure,69.0
96,M,298.8,308.5,1711,28.5,140,No Failure,46.666666666666664
97,H,298.7,308.5,1420,45.7,143,No Failure,28.6
98,L,298.8,308.6,1268,55.8,155,No Failure,77.5
99,L,298.8,308.6,1511,36.1,157,No Failure,78.5
100,H,298.6,308.4,1407,50.5,164,No Failure,32.8
101,M,298.6,308.4,1391,42.4,169,No Failure,56.333333333333336
102,L,298.4,308.4,1515,40.1,179,No Failure,89.5
103,M,298.3,308.3,1379,48.0,181,No Failure,60.333333333333336
104,L,298.4,308.3,1422,42.7,186,No Failure,93.0
105,M,298.4,308.2,1584,41.0,191,No Failure,63.666666666666664
106,L,298.4,308.2,1850,27.0,194,No Failure,97.0
107,L,298.4,308.2,1528,36.2,196,No Failure,98.0
