,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_type,min_processo,type_H,type_L,type_M
0,298.1,308.6,1551,42.8,0,No Failure,0.0,0,0,1
1,298.2,308.7,1408,46.3,3,No Failure,1.5,0,1,0
2,298.2,308.7,1408,40.0,9,No Failure,4.5,0,1,0
3,298.1,308.6,1425,41.9,11,No Failure,3.6666666666666665,0,0,1
4,298.1,308.6,1558,42.4,14,No Failure,7.0,0,1,0
5,298.1,308.6,1527,40.2,16,No Failure,8.0,0,1,0
6,298.3,308.7,1667,28.6,18,No Failure,6.0,0,0,1
7,298.4,308.9,1782,23.9,24,No Failure,4.8,1,0,0
8,298.6,309.1,1423,44.3,29,No Failure,5.8,1,0,0
9,298.6,309.2,1542,48.4,42,No Failure,21.0,0,1,0
10,298.6,309.2,1311,46.6,44,No Failure,14.666666666666666,0,0,1
11,298.7,309.2,1410,45.6,47,No Failure,15.666666666666666,0,0,1
12,298.8,309.2,1306,54.5,50,No Failure,10.0,1,0,0
13,298.8,309.3,1450,44.8,63,No Failure,31.5,0,1,0
14,299.0,309.4,1561,37.3,70,No Failure,23.333333333333332,0,0,1
15,299.0,309.5,1861,23.3,73,No Failure,36.5,0,1,0
16,299.1,309.5,1512,39.0,75,No Failure,37.5,0,1,0
17,299.1,309.4,1811,24.6,77,No Failure,15.4,1,0,0
18,299.1,309.4,1439,44.2,82,No Failure,41.0,0,1,0
19,299.0,309.4,1693,30.1,84,No Failure,42.0,0,1,0
20,299.1,309.5,1339,48.2,86,No Failure,28.666666666666668,0,0,1
21,299.0,309.4,1798,25.5,89,No Failure,44.5,0,1,0
22,299.0,309.4,1419,48.3,91,No Failure,45.5,0,1,0
23,298.9,309.3,1665,32.5,93,No Failure,46.5,0,1,0
24,298.8,309.2,1452,48.6,98,No Failure,32.666666666666664,0,0,1
25,298.9,309.2,1581,36.7,101,No Failure,33.666666666666664,0,0,1
26,298.8,309.1,1439,39.2,104,No Failure,52.0,0,1,0
27,298.9,309.2,1379,50.7,106,No Failure,21.2,1,0,0
28,298.8,309.1,1350,52.5,111,No Failure,55.5,0,1,0
29,298.8,309.1,1362,45.4,113,No Failure,56.5,0,1,0
30,298.8,309.1,1368,50.8,115,No Failure,57.5,0,1,0
31,298.8,309.1,1368,49.1,117,No Failure,39.0,0,0,1
32,298.8,309.2,1372,48.5,120,No Failure,24.0,1,0,0
33,298.8,309.1,1472,47.5,125,No Failure,41.666666666666664,0,0,1
34,298.8,309.1,1489,49.1,128,No Failure,64.0,0,1,0
35,298.7,309.0,1843,25.8,130,No Failure,43.333333333333336,0,0,1
36,298.8,309.1,1418,46.3,133,No Failure,66.5,0,1,0
